City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Yashkul,RU,2021-03-31 21:56:37,46.1711,45.3435,39.52,71,0,9.4
246,Hokitika,NZ,2021-03-31 21:56:37,-42.7167,170.9667,63.05,48,0,7.29
247,Nyurba,RU,2021-03-31 21:56:37,63.2842,118.3319,-3.23,99,50,4.54
248,Tura,IN,2021-03-31 21:56:38,25.5198,90.2201,69.15,94,8,6.78
249,Cap-Aux-Meules,CA,2021-03-31 21:56:38,47.3821,-61.8597,48.2,53,87,20.71
250,Victoria,HK,2021-03-31 21:56:38,22.2855,114.1577,78.01,86,97,7.02
251,Saint-Augustin,CA,2021-03-31 21:56:38,51.226,-58.6502,23.63,86,63,5.06
252,Karoi,ZW,2021-03-31 21:56:39,-16.8099,29.6925,57.6,92,34,3.89
253,La Palma,US,2021-03-31 21:56:39,33.8464,-118.0467,87.8,4,1,1.28
254,Superior,US,2021-03-31 21:56:39,46.7208,-92.1041,30.2,37,1,12.66
255,Saldanha,ZA,2021-03-31 21:56:40,-33.0117,17.9442,64.4,72,100,6.91
256,Skibbereen,IE,2021-03-31 21:56:40,51.55,-9.2667,44.6,93,75,6.91
257,Sao Goncalo Do Sapucai,BR,2021-03-31 21:54:20,-21.8922,-45.5953,63.41,92,8,4.56
258,Manokwari,ID,2021-03-31 21:56:40,-0.8667,134.0833,78.46,79,92,1.59
259,Buraydah,SA,2021-03-31 21:52:15,26.326,43.975,82.4,30,20,6.91
260,Hammerfest,NO,2021-03-31 21:56:41,70.6634,23.6821,33.8,100,75,5.75
261,Santa Cruz,BO,2021-03-31 21:56:41,-17.8,-63.1667,82.4,54,40,5.75
262,Acajutla,SV,2021-03-31 21:54:46,13.5928,-89.8275,88.0,59,0,1.01
263,Saint-Philippe,RE,2021-03-31 21:56:41,-21.3585,55.7679,77.0,78,90,4.61
264,Redcar,GB,2021-03-31 21:56:42,54.6166,-1.06,45.0,96,93,8.99
265,Chincholi,IN,2021-03-31 21:56:42,17.4667,77.4333,82.85,15,41,4.94
266,Alekseyevka,RU,2021-03-31 21:56:42,50.6309,38.6903,41.07,76,78,7.49
267,Ostroda,PL,2021-03-31 21:56:42,53.6967,19.9649,51.01,75,0,2.3
268,Vardo,NO,2021-03-31 21:56:43,70.3705,31.1107,33.8,86,75,14.97
269,Yerbogachen,RU,2021-03-31 21:56:43,61.2767,108.0108,8.1,95,100,7.05
270,Kavaratti,IN,2021-03-31 21:56:43,10.5669,72.642,82.98,73,64,14.25
271,Shieli,KZ,2021-03-31 21:56:44,44.1667,66.75,34.29,74,40,9.82
272,Bilma,NE,2021-03-31 21:56:44,18.6853,12.9164,72.75,11,0,4.25
273,Rawson,AR,2021-03-31 21:56:44,-43.3002,-65.1023,58.84,88,100,19.44
274,Deputatskiy,RU,2021-03-31 21:56:45,69.3,139.9,-7.01,94,89,1.57
275,Karamursel,TR,2021-03-31 21:56:45,40.6914,29.6157,46.99,81,40,10.36
276,Mocuba,MZ,2021-03-31 21:56:45,-16.8392,36.9856,63.97,93,1,1.7
277,Valdivia,CL,2021-03-31 21:52:20,-39.8142,-73.2459,66.2,68,75,4.61
278,Portland,US,2021-03-31 21:52:12,45.5234,-122.6762,70.0,39,40,5.75
279,Severo-Kurilsk,RU,2021-03-31 21:56:46,50.6789,156.125,36.68,98,100,12.17
280,Berlevag,NO,2021-03-31 21:56:46,70.8578,29.0864,33.8,93,75,16.11
